Gender,Motor_licence,Bike,Skate,Hsize,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Geodesic_distance,Age_20 και κάτω,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 - 60,Income_0 - 500,Income_1000 - 1500,Income_1500 - 2000,Income_2000 και άνω,Income_500 - 1000,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_15.00 - 18.00,Depart_time_18.00 - 21.00,Mode
0,0,0,0,2,22,3,3,2,1,3,3,1,6.214689305777537,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,3,15,3,5,3,3,2,4,3,8.1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,1,0,3,25,3,5,3,4,3,3,4,2.8633884350767405,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,1,0,0,4,25,2,3,2,3,3,3,2,15.9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,3,38,4,5,3,5,3,3,3,5.322792742991965,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,1,4,41,3,3,3,4,4,4,3,3.1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2
1,0,0,0,3,27,2,3,3,3,2,3,4,3.879182414264897,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,1,2,36,3,3,3,4,5,5,3,2.3241726492100816,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,0,3,24,3,3,3,3,5,5,3,1.6289142371658756,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,0,1,3,30,4,3,3,4,4,4,3,1.854708468370375,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,5,20,3,4,4,5,4,5,5,10.469525041059562,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,5,3,4,4,3,2,3,4,5,0.44856809497934813,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,2,21,5,5,5,5,5,5,5,8.516860050709326,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,3,60,2,2,4,4,4,4,5,8.928207376868052,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,4,29,4,5,5,4,3,4,5,5.9,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,4,20,4,4,4,3,3,5,4,5.746263068782395,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,3,20,4,4,4,4,3,3,5,7.173755097043747,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,1,0,3,43,1,5,3,2,2,4,2,8.473306114916712,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,4,25,3,3,3,4,5,4,2,1.6161475272721895,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,3,35,3,4,3,3,5,4,2,2.6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
1,0,0,0,5,14,3,2,3,3,3,4,3,0.7076590451265724,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2
0,0,0,0,5,12,4,4,5,4,3,3,4,10.052525279166725,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,5,14,5,2,2,2,4,4,2,0.8642922741851863,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
1,0,0,0,3,30,3,3,3,3,4,5,3,1.4898229125993099,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,4,18,4,3,4,3,3,3,4,7.146209589377166,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,6,28,5,5,5,3,3,5,3,2.2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,3,51,4,5,5,4,4,4,4,29.2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,3,37,3,3,3,3,5,4,3,2.030264781928377,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2
1,0,0,0,6,16,3,3,3,3,4,5,3,0.8664919956750042,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,1,0,5,26,4,4,5,4,4,4,4,13.4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,3,14,4,4,3,2,4,5,3,0.9138298662415749,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,1,0,4,23,4,3,4,2,4,4,3,1.6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,1,1,0,4,3,3,2,4,3,1,3,3,0.9,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,3,26,5,3,4,3,1,5,5,6.80392993018652,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,5,37,4,3,4,4,3,4,3,14.8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,3,20,3,5,3,3,3,3,5,2.615721655550872,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,4,18,3,3,3,3,4,5,3,1.3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,1,0,0,4,27,3,3,4,4,4,4,3,9.082905695447563,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,3,45,1,5,5,5,5,5,5,25.5483705531291,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,3,9,5,5,5,5,5,5,5,3.6885834475245294,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
0,1,0,0,2,5,3,3,4,2,2,4,4,0.39628121424344537,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,2,8,5,4,5,3,2,5,5,1.996302090287227,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,3,50,3,3,3,3,5,3,3,3.8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,1,0,0,2,17,3,2,3,3,2,3,5,4.740111512925962,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,3,5,5,5,5,3,3,5,3,7.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,4,55,3,5,3,3,3,4,3,8.634278703853358,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,1,17,4,5,4,3,4,5,3,0.961240017709099,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
1,0,1,0,3,26,4,5,3,2,5,5,1,1.8,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2
1,0,1,0,2,39,3,5,5,4,3,3,3,3.5735835257833153,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,4,18,3,3,3,4,5,5,3,0.933874509857791,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,1,4,33,3,4,3,3,3,4,4,2.1039459720400195,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,0,3,25,3,5,4,2,2,2,2,2.4950312739794844,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,3,22,2,2,2,4,4,5,2,1.2006420479968614,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,0,0,0,4,25,4,4,2,2,2,2,2,3.071089133085131,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,3,21,2,2,2,4,5,5,2,1.3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,1,0,0,3,31,2,2,2,2,3,3,4,20.932768725506552,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,15,5,3,1,1,1,3,1,4.154962232972359,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,4,17,4,4,4,4,4,5,2,3.250824506430651,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,4,11,4,5,5,4,3,4,4,3.7,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,4,14,5,3,3,3,3,3,4,3.071457619521252,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,7,24,4,1,4,5,5,2,1,1.8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
1,0,0,0,5,16,4,4,2,2,4,5,2,1.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
1,0,1,0,3,35,4,4,3,4,3,3,3,6.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,1,0,8,26,3,5,5,5,5,5,5,6.808129513827671,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,4,23,5,5,5,2,3,5,5,12.131535223633872,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,3,27,5,3,4,3,3,3,3,10.3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,5,25,5,3,5,3,3,3,4,7.340255708841578,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,4,37,3,4,3,4,4,5,3,4.831163200755542,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,5,28,2,1,3,2,5,4,1,1.7173467276086436,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2
0,0,1,0,5,34,4,3,3,1,1,3,3,5.28156419668505,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,1,5,21,3,3,3,3,4,5,3,1.1816439511168235,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,0,0,0,3,12,4,3,3,2,5,4,1,0.95,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
0,0,0,0,3,40,4,4,4,2,2,2,3,13.814557567299873,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,1,36,1,2,2,2,2,3,1,29.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,3,32,3,4,4,4,4,4,2,4.863510047512133,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,1,1,0,4,22,2,1,2,2,2,1,1,19.366749673909563,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,5,5,5,5,5,3,3,5,3,0.6209829926435783,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,1,0,0,4,27,4,5,3,1,1,5,3,23.4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,2,44,2,5,2,2,2,2,5,9.571559532716558,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,5,26,3,3,3,2,4,4,2,1.8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
0,0,0,0,4,28,5,5,5,3,3,4,5,12.3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,3,5,5,5,3,5,1,1,5,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,2,25,5,5,5,2,1,5,5,6.758864199785418,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,4,13,5,5,4,4,4,5,5,0.8199191316708732,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
1,0,0,0,2,12,5,4,5,1,1,5,5,3.774361065095608,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,5,51,2,5,2,2,2,4,5,4.579762231627611,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,4,47,3,3,3,5,3,3,3,6.469052399950164,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,2,23,4,4,4,2,4,4,3,1.1314476341106972,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1,0,1,0,4,25,2,4,2,4,2,4,2,3.5306527823419454,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,5,25,3,5,3,3,3,4,3,5.1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,3,4,5,5,3,3,4,5,5,0.37165067114327244,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,3,33,3,4,3,2,4,4,3,1.8929676230440433,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,1,1,0,1,46,3,5,3,3,2,4,2,1.170550880713292,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,0,0,0,6,33,5,5,3,1,1,5,5,19.533046588496635,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,3,21,2,4,2,3,4,5,2,0.9475130799959384,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,5,36,3,4,4,3,3,5,5,5.447427718047305,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,1,1,0,4,11,3,3,3,4,4,5,3,7.4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,5,18,4,3,3,3,4,4,4,1.1380023159879316,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
1,0,1,0,5,25,3,5,3,4,2,2,3,4.12781193909374,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,1,60,3,5,3,5,3,3,3,8.696364477315864,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,0,1,0,6,60,3,5,4,3,4,5,4,8.511006214503855,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1,0,3,60,1,5,3,3,3,3,3,13.1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,6,60,2,4,2,2,1,4,5,18.014011547135564,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,1,0,4,38,2,5,2,2,2,4,4,5.7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,1,0,4,23,4,4,3,2,3,4,2,1.3322094755836755,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,4,38,5,4,3,1,1,3,3,5.643977111392685,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,3,31,3,4,3,3,4,5,4,2.110886399750162,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
1,0,0,0,5,18,3,5,4,5,5,3,1,1.0101802965227336,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
